,persons_names,isName
688,Vital Francoisse,Possible nom
689,Yvonne Vieslet,Possible nom
690,Sophie Didier,Possible nom
691,Alberic Delbecq,Possible nom
692,Alberique Delbecq,Possible nom
693,Albert Delbecq,Possible nom
694,Anne Catherine Lints,Possible nom
695,Augustin Delbecq,Possible nom
696,Eloi Caulier,Possible nom
697,Charles Caulier,Possible nom
698,Jules Danneau,Possible nom
699,Julia Danneau,Possible nom
700,Louisa Danneau,Possible nom
701,Charles Delbecq,Possible nom
702,Elisabeth Delbecq,Possible nom
703,Henri Delbecq,Possible nom
704,Theophile Delbecq,Possible nom
705,Desire Favier,Possible nom
706,Felicie Lechantre,Possible nom
707,Francois Favier,Possible nom
708,Leopold Caulier,Possible nom
709,Phile Delbecq,Possible nom
710,Anne Catherine,Possible nom
711,Thierry Bertrand,Possible nom
712,Alphonse Joseph Marie Donkers,Possible nom
713,Jos Janssen,Possible nom
714,Philippe Grenier,Possible nom
715,Evrard Florent,Possible nom
716,Francis Bonaert,Possible nom
717,Laure Fievet,Possible nom
718,Blandine Wielandt,Possible nom
719,Blondine Assises,Improbable
720,Blondine Wielandt,Possible nom
721,Jan Bruylants,Possible nom
722,Saturnin Farandoul,Possible nom
723,Saturnino Farandola,Possible nom
724,Felix Garlinck,Possible nom
725,Xavier Hubinon,Possible nom
726,Jacoby Cercle,Possible nom
727,Emile Maton,Possible nom
728,Rimbaud Poete,Possible nom
729,Carl Jacoby,Possible nom
730,Auguste Wagener,Possible nom
731,Marilyn Monroe,Possible nom
732,Bila A,Possible nom
733,Bila De Nivelles,Possible nom
734,Albert Du Bois,Possible nom
735,Daniel Friel,Possible nom
736,Jason Jean,Possible nom
737,Jean Jaures,Possible nom
738,Hirsch Luxembourg,Possible nom
739,Samuel Hirsch,Possible nom
740,Fernand Toussaint,Possible nom
741,Constantin Le Paige,Possible nom
742,Max Hargot,Possible nom
743,Louis Legros,Possible nom
744,Joseph Ciselet,Possible nom
745,Valentin Lambert,Possible nom
746,Gustave Albrecht,Possible nom
747,Richard Somers,Possible nom
748,Alfons Langbeen,Possible nom
749,Alphons Langbeen,Possible nom
750,Fons Langbeen,Possible nom
751,Louis Langbeen,Possible nom
752,Lydia Langbeen,Possible nom
753,Jean Bardou,Possible nom
754,Joseph Bardou,Possible nom
755,Lacroix Fils,Possible nom
756,Lacroix Riz,Possible nom
757,Patrick De Schepper,Possible nom
758,Joseph De Lange,Possible nom
759,Joseph Praats,Possible nom
760,Marien Diamant,Possible nom
761,Theodore Praats,Possible nom
762,Diamant Torfs,Possible nom
763,Albert Edoiuard,Possible nom
764,Louis Criquillon,Possible nom
765,Robert Crab,Possible nom
766,Charles Delory,Possible nom
767,Godefroid Henri,Possible nom
768,Victor Daue,Possible nom
769,Henri Godefroid,Possible nom
770,Abbe Depooter,Possible nom
771,Paul Otlet,Possible nom
772,Emile De Buyser,Possible nom
773,Gilbert Dysers,Possible nom
774,Gilbrecht Dysers,Possible nom
775,Rik Van Looy,Possible nom
776,Aubain Dochain,Possible nom
777,Adele Foucher,Possible nom
778,Gabrielle Duchateau,Possible nom
779,Guillaume Balthazar Mertens,Possible nom
780,Guillaume Mertens,Possible nom
781,Paul Van Cleemputte,Possible nom
782,Pierre Dalimier,Possible nom
783,Jean Tousseul,Possible nom
784,Robin Cite,Improbable
785,Willem Van Rijswijck,Possible nom
786,Jozef Blockhuys,Possible nom
787,Marc Schallenberg,Possible nom
788,Charles Decarnieres,Possible nom
789,Blanche De Petite,Possible nom
790,Collin Verte,Possible nom
791,Hubert Collin,Possible nom
792,Winter Cinema,Possible nom
793,Winter Palace,Possible nom
794,Winter Varietes,Possible nom
795,Eugenie Reynaert,Possible nom
796,Leopold Vanpevenaege,Possible nom
797,Leopold Van Pevenaege,Possible nom
798,Leopold Vanpevenage,Possible nom
799,Leopold Van Pevenage,Possible nom
800,Eva De Launay,Possible nom
801,Caro Samuel,Possible nom
802,Hartog Lion,Possible nom
803,Samuel Lion,Possible nom
804,Samuel Caro,Possible nom
805,Franz Van Ophem,Possible nom
806,Rik Van Steenbergen,Possible nom
807,Jules Somers,Possible nom
808,Louis Somers,Possible nom
809,Joseph Jules Albert,Possible nom
810,Rhoda Broughton,Possible nom
811,Louise De Vilmorin,Possible nom
812,Pierre Clausen,Possible nom
813,Paul Gurk,Possible nom
814,Jules Essarts,Improbable
815,Guy Chantepleure,Possible nom
816,Clara Degrijse,Possible nom
817,Clara Degryse,Possible nom
